Команда	Сумма	Рейтинг	I	II	III	IV	V	VI
Первая сборная	67	1353	11	13	10	11	9	13
Жуки-акробаты и паук-канатоходец	67	1107	7	10	12	13	11	14
Неловко	64	1098	8	12	9	11	12	12
Стумреби	63	1102	8	10	11	11	12	11
Сборная Кирибати	63	979	7	6	13	13	12	12
Инвертированный вингер 	60	1036	7	11	10	13	8	11
Конец света с последующим симпозиумом	58	951	9	7	10	12	10	10
Дилижанна Д'Арк	56	829	8	7	8	13	8	12
Я просто медленно пишу	54	800	6	8	8	11	11	10
Макароны по-флотски	53	896	7	9	8	13	9	7
Коммандария	52	889	5	10	9	13	6	9
НУИХ	52	813	4	10	8	11	9	10
Арагаст 	52	736	3	10	8	12	8	11
Моя Габороне	51	786	6	9	7	12	7	10
Anfield	50	676	4	6	9	11	10	10
Я вчера видел Краков	48	906	6	9	9	10	8	6
Джагернаут	48	783	5	7	9	11	8	8
Эчпочмак, маца, мацун	48	703	4	7	9	9	10	9
Bravo Zulu	42	634	3	8	7	12	6	6
Братва с раёна	42	611	4	7	7	10	5	9
Gambler	41	645	4	7	8	7	7	8
Устойчивое выражение	40	697	4	8	7	10	7	4
Команда без названия	40	515	4	5	6	10	6	9
БиВНИ ИА	40	461	6	3	4	9	7	11
Белые и пушистые	38	526	0	7	8	9	6	8
Киски, тлен, видеоигры	37	493	3	4	7	10	6	7
Ижкар	35	440	4	4	5	11	4	7
Варанда	34	350	3	5	3	10	5	8
Инкогнито	33	304	0	6	3	9	8	7
Больше чем Пи	22	269	2	3	3	7	4	3